"descricao","rotulo","cod_configuracao","cod_medicao","cod_unidade_operacional","dt_registro_programada","status_liberacao","valor"
ENTRADA DA ETA,Vazão afluente,1324,20932556,73,2020-10-01 00:00:00,R,1567.0000
DOSAGENS,Dosagem Sulfato,1333,20932557,73,2020-10-01 00:00:00,R,102.3600
DOSAGENS,Dosagem Flúor,1342,20932558,73,2020-10-01 00:00:00,R,23.7900
RESERVATÓRIO,Nível,1325,20932559,73,2020-10-01 00:00:00,R,88.0000
DOSAGENS,Conc. Sulfato,1330,20932560,73,2020-10-01 00:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20932561,73,2020-10-01 00:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20932562,73,2020-10-01 00:00:00,R,8.0000
DOSAGENS,Cloro Pós,1339,20932563,73,2020-10-01 00:00:00,R,16.0000
DOSAGENS,Conc. Flúor,1340,20932564,73,2020-10-01 00:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20932565,73,2020-10-01 00:00:00,R,1.2038
ÁGUA BRUTA,Cor,1343,20932566,73,2020-10-01 00:00:00,R,36.2000
ÁGUA BRUTA,Turbidez,1344,20932567,73,2020-10-01 00:00:00,R,6.5500
ÁGUA BRUTA,pH,1345,20932568,73,2020-10-01 00:00:00,R,7.1200
ÁGUA BRUTA,Alcalinidade,1346,20932569,73,2020-10-01 00:00:00,R,15.8000
ÁGUA COAGULADA,Turbidez,1347,20932570,73,2020-10-01 00:00:00,R,9.6000
ÁGUA COAGULADA,pH,1348,20932571,73,2020-10-01 00:00:00,R,6.4400
COND. AMBIENTAIS,Temp. ar,1349,20932572,73,2020-10-01 00:00:00,R,25.0000
ÁGUA TRATADA,Cor,1356,20932573,73,2020-10-01 00:00:00,R,2.5000
ÁGUA TRATADA,Turbidez,1357,20932574,73,2020-10-01 00:00:00,R,0.3000
ÁGUA TRATADA,pH,1358,20932575,73,2020-10-01 00:00:00,R,6.9200
ÁGUA TRATADA,Alcalinidade,1359,20932576,73,2020-10-01 00:00:00,R,20.0000
ÁGUA TRATADA,Cloro residual,1360,20932577,73,2020-10-01 00:00:00,R,1.9300
ÁGUA TRATADA,Íon Flúor,1362,20932578,73,2020-10-01 00:00:00,R,0.6500
TELEMETRIA,Água bruta,1364,20932579,73,2020-10-01 00:00:00,R,39078717.0000
TELEMETRIA,Água tratada,1365,20932580,73,2020-10-01 00:00:00,R,37192739.0000
DOSAGENS,Conc. Sulfato,1330,20932681,73,2020-10-01 01:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20932687,73,2020-10-01 01:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20932693,73,2020-10-01 01:00:00,R,8.0000
DOSAGENS,Cloro Pós,1339,20932699,73,2020-10-01 01:00:00,R,16.0000
DOSAGENS,Conc. Flúor,1340,20932705,73,2020-10-01 01:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20932711,73,2020-10-01 01:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20933139,73,2020-10-01 01:00:00,R,1463.0000
DOSAGENS,Dosagem Sulfato,1333,20933140,73,2020-10-01 01:00:00,R,95.5700
DOSAGENS,Dosagem Flúor,1342,20933141,73,2020-10-01 01:00:00,R,22.2100
RESERVATÓRIO,Nível,1325,20933142,73,2020-10-01 01:00:00,R,87.0000
FILTROS,Filtro 1,1350,20933143,73,2020-10-01 01:00:00,R,0.4500
FILTROS,Filtro 2,1351,20933144,73,2020-10-01 01:00:00,R,0.2800
FILTROS,Filtro 3,1352,20933145,73,2020-10-01 01:00:00,R,0.3600
FILTROS,Filtro 4,1353,20933146,73,2020-10-01 01:00:00,R,0.3100
FILTROS,Filtro 5,1354,20933147,73,2020-10-01 01:00:00,R,0.3400
FILTROS,Filtro 6,1355,20933148,73,2020-10-01 01:00:00,R,0.3800
ÁGUA TRATADA,Cloro residual,1360,20933149,73,2020-10-01 01:00:00,R,1.9800
DOSAGENS,Conc. Sulfato,1330,20932682,73,2020-10-01 02:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20932688,73,2020-10-01 02:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20932694,73,2020-10-01 02:00:00,R,8.0000
DOSAGENS,Cloro Pós,1339,20932700,73,2020-10-01 02:00:00,R,16.0000
DOSAGENS,Conc. Flúor,1340,20932706,73,2020-10-01 02:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20932712,73,2020-10-01 02:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20933930,73,2020-10-01 02:00:00,R,1406.0000
DOSAGENS,Dosagem Sulfato,1333,20933931,73,2020-10-01 02:00:00,R,91.8400
DOSAGENS,Dosagem Flúor,1342,20933932,73,2020-10-01 02:00:00,R,21.3400
RESERVATÓRIO,Nível,1325,20933933,73,2020-10-01 02:00:00,R,86.0000
ÁGUA BRUTA,Cor,1343,20933934,73,2020-10-01 02:00:00,R,36.0000
ÁGUA BRUTA,Turbidez,1344,20933935,73,2020-10-01 02:00:00,R,7.0000
ÁGUA BRUTA,pH,1345,20933936,73,2020-10-01 02:00:00,R,7.1200
ÁGUA BRUTA,Alcalinidade,1346,20933937,73,2020-10-01 02:00:00,R,15.8000
ÁGUA COAGULADA,Turbidez,1347,20933938,73,2020-10-01 02:00:00,R,10.1000
ÁGUA COAGULADA,pH,1348,20933939,73,2020-10-01 02:00:00,R,6.4600
COND. AMBIENTAIS,Temp. ar,1349,20933940,73,2020-10-01 02:00:00,R,24.8000
ÁGUA TRATADA,Cor,1356,20933941,73,2020-10-01 02:00:00,R,2.5000
ÁGUA TRATADA,Turbidez,1357,20933942,73,2020-10-01 02:00:00,R,0.3200
ÁGUA TRATADA,pH,1358,20933943,73,2020-10-01 02:00:00,R,7.0000
ÁGUA TRATADA,Alcalinidade,1359,20933944,73,2020-10-01 02:00:00,R,20.0000
ÁGUA TRATADA,Cloro residual,1360,20933945,73,2020-10-01 02:00:00,R,1.9300
ÁGUA TRATADA,Íon Flúor,1362,20933946,73,2020-10-01 02:00:00,R,0.6700
DOSAGENS,Conc. Sulfato,1330,20932683,73,2020-10-01 03:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20932689,73,2020-10-01 03:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20932695,73,2020-10-01 03:00:00,R,8.0000
DOSAGENS,Cloro Pós,1339,20932701,73,2020-10-01 03:00:00,R,16.0000
DOSAGENS,Conc. Flúor,1340,20932707,73,2020-10-01 03:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20932713,73,2020-10-01 03:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20934940,73,2020-10-01 03:00:00,R,1249.0000
DOSAGENS,Dosagem Sulfato,1333,20934941,73,2020-10-01 03:00:00,R,81.5900
DOSAGENS,Dosagem Flúor,1342,20934942,73,2020-10-01 03:00:00,R,18.9600
RESERVATÓRIO,Nível,1325,20934943,73,2020-10-01 03:00:00,R,84.0000
FILTROS,Filtro 1,1350,20934944,73,2020-10-01 03:00:00,R,0.3300
FILTROS,Filtro 2,1351,20934945,73,2020-10-01 03:00:00,R,0.4200
FILTROS,Filtro 3,1352,20934946,73,2020-10-01 03:00:00,R,0.2900
FILTROS,Filtro 4,1353,20934947,73,2020-10-01 03:00:00,R,0.2400
FILTROS,Filtro 5,1354,20934948,73,2020-10-01 03:00:00,R,0.3400
FILTROS,Filtro 6,1355,20934949,73,2020-10-01 03:00:00,R,0.4200
ÁGUA TRATADA,Cloro residual,1360,20934950,73,2020-10-01 03:00:00,R,1.9000
DOSAGENS,Conc. Sulfato,1330,20932684,73,2020-10-01 04:00:00,R,46.3200
DOSAGENS,Dens. Sulfato,1331,20932690,73,2020-10-01 04:00:00,R,1.3220
DOSAGENS,Dosagem Sulfato,1332,20932696,73,2020-10-01 04:00:00,R,8.0000
DOSAGENS,Cloro Pós,1339,20932702,73,2020-10-01 04:00:00,R,16.0000
DOSAGENS,Conc. Flúor,1340,20932708,73,2020-10-01 04:00:00,R,23.0000
DOSAGENS,Dens. Flúor,1341,20932714,73,2020-10-01 04:00:00,R,1.2038
ENTRADA DA ETA,Vazão afluente,1324,20936381,73,2020-10-01 04:00:00,R,1346.0000
DOSAGENS,Dosagem Sulfato,1333,20936382,73,2020-10-01 04:00:00,R,87.9200
DOSAGENS,Dosagem Flúor,1342,20936383,73,2020-10-01 04:00:00,R,20.4300
RESERVATÓRIO,Nível,1325,20936387,73,2020-10-01 04:00:00,R,84.0000
ÁGUA BRUTA,Cor,1343,20936389,73,2020-10-01 04:00:00,R,37.2000
ÁGUA BRUTA,Turbidez,1344,20936390,73,2020-10-01 04:00:00,R,7.0500
ÁGUA BRUTA,pH,1345,20936391,73,2020-10-01 04:00:00,R,7.1200
ÁGUA BRUTA,Alcalinidade,1346,20936392,73,2020-10-01 04:00:00,R,15.8000
ÁGUA COAGULADA,Turbidez,1347,20936393,73,2020-10-01 04:00:00,R,10.5000
ÁGUA COAGULADA,pH,1348,20936394,73,2020-10-01 04:00:00,R,6.4800
