"DESCRICAO","ROTULO","COD_CONFIGURACAO","COD_MEDICAO_ETA","VALOR","DT_REGISTRO_PROGRAMADA"
DOSAGENS,Conc. Flúor,1340,20932564,23.0000,2020-10-01 00:00:00
ÁGUA COAGULADA,Turbidez,1347,20932570,9.6000,2020-10-01 00:00:00
TELEMETRIA,Água tratada,1365,20932580,37192739.0000,2020-10-01 00:00:00
RESERVATÓRIO,Nível,1325,20932559,88.0000,2020-10-01 00:00:00
ÁGUA BRUTA,Cor,1343,20932566,36.2000,2020-10-01 00:00:00
ÁGUA BRUTA,Turbidez,1344,20932567,6.5500,2020-10-01 00:00:00
ÁGUA TRATADA,pH,1358,20932575,6.9200,2020-10-01 00:00:00
ÁGUA TRATADA,Íon Flúor,1362,20932578,0.6500,2020-10-01 00:00:00
DOSAGENS,Cloro Pós,1339,20932563,16.0000,2020-10-01 00:00:00
DOSAGENS,Dens. Flúor,1341,20932565,1.2038,2020-10-01 00:00:00
ÁGUA BRUTA,Alcalinidade,1346,20932569,15.8000,2020-10-01 00:00:00
ÁGUA COAGULADA,pH,1348,20932571,6.4400,2020-10-01 00:00:00
DOSAGENS,Dosagem Sulfato,1333,20932557,102.3600,2020-10-01 00:00:00
ENTRADA DA ETA,Vazão afluente,1324,20932556,1567.0000,2020-10-01 00:00:00
DOSAGENS,Dens. Sulfato,1331,20932561,1.3220,2020-10-01 00:00:00
COND. AMBIENTAIS,Temp. ar,1349,20932572,25.0000,2020-10-01 00:00:00
ÁGUA TRATADA,Cor,1356,20932573,2.5000,2020-10-01 00:00:00
DOSAGENS,Dosagem Flúor,1342,20932558,23.7900,2020-10-01 00:00:00
ÁGUA BRUTA,pH,1345,20932568,7.1200,2020-10-01 00:00:00
ÁGUA TRATADA,Alcalinidade,1359,20932576,20.0000,2020-10-01 00:00:00
ÁGUA TRATADA,Cloro residual,1360,20932577,1.9300,2020-10-01 00:00:00
DOSAGENS,Conc. Sulfato,1330,20932560,46.3200,2020-10-01 00:00:00
DOSAGENS,Dosagem Sulfato,1332,20932562,8.0000,2020-10-01 00:00:00
ÁGUA TRATADA,Turbidez,1357,20932574,0.3000,2020-10-01 00:00:00
TELEMETRIA,Água bruta,1364,20932579,39078717.0000,2020-10-01 00:00:00
DOSAGENS,Conc. Sulfato,1330,20932681,46.3200,2020-10-01 01:00:00
FILTROS,Filtro 6,1355,20933148,0.3800,2020-10-01 01:00:00
DOSAGENS,Dosagem Sulfato,1332,20932693,8.0000,2020-10-01 01:00:00
FILTROS,Filtro 2,1351,20933144,0.2800,2020-10-01 01:00:00
FILTROS,Filtro 4,1353,20933146,0.3100,2020-10-01 01:00:00
DOSAGENS,Dosagem Flúor,1342,20933141,22.2100,2020-10-01 01:00:00
ÁGUA TRATADA,Cloro residual,1360,20933149,1.9800,2020-10-01 01:00:00
DOSAGENS,Dens. Sulfato,1331,20932687,1.3220,2020-10-01 01:00:00
ENTRADA DA ETA,Vazão afluente,1324,20933139,1463.0000,2020-10-01 01:00:00
DOSAGENS,Dosagem Sulfato,1333,20933140,95.5700,2020-10-01 01:00:00
FILTROS,Filtro 1,1350,20933143,0.4500,2020-10-01 01:00:00
FILTROS,Filtro 3,1352,20933145,0.3600,2020-10-01 01:00:00
DOSAGENS,Cloro Pós,1339,20932699,16.0000,2020-10-01 01:00:00
DOSAGENS,Dens. Flúor,1341,20932711,1.2038,2020-10-01 01:00:00
RESERVATÓRIO,Nível,1325,20933142,87.0000,2020-10-01 01:00:00
DOSAGENS,Conc. Flúor,1340,20932705,23.0000,2020-10-01 01:00:00
FILTROS,Filtro 5,1354,20933147,0.3400,2020-10-01 01:00:00
ÁGUA COAGULADA,Turbidez,1347,20933938,10.1000,2020-10-01 02:00:00
DOSAGENS,Conc. Flúor,1340,20932706,23.0000,2020-10-01 02:00:00
RESERVATÓRIO,Nível,1325,20933933,86.0000,2020-10-01 02:00:00
ÁGUA BRUTA,Cor,1343,20933934,36.0000,2020-10-01 02:00:00
ÁGUA BRUTA,Turbidez,1344,20933935,7.0000,2020-10-01 02:00:00
ÁGUA TRATADA,pH,1358,20933943,7.0000,2020-10-01 02:00:00
ÁGUA TRATADA,Íon Flúor,1362,20933946,0.6700,2020-10-01 02:00:00
DOSAGENS,Dens. Flúor,1341,20932712,1.2038,2020-10-01 02:00:00
DOSAGENS,Cloro Pós,1339,20932700,16.0000,2020-10-01 02:00:00
ÁGUA BRUTA,Alcalinidade,1346,20933937,15.8000,2020-10-01 02:00:00
ÁGUA COAGULADA,pH,1348,20933939,6.4600,2020-10-01 02:00:00
DOSAGENS,Dosagem Sulfato,1333,20933931,91.8400,2020-10-01 02:00:00
ENTRADA DA ETA,Vazão afluente,1324,20933930,1406.0000,2020-10-01 02:00:00
COND. AMBIENTAIS,Temp. ar,1349,20933940,24.8000,2020-10-01 02:00:00
ÁGUA TRATADA,Cor,1356,20933941,2.5000,2020-10-01 02:00:00
DOSAGENS,Dens. Sulfato,1331,20932688,1.3220,2020-10-01 02:00:00
DOSAGENS,Dosagem Flúor,1342,20933932,21.3400,2020-10-01 02:00:00
